rowid;name;part_sp;rate_abs;page_resp
631;розгляд;ім. ч. р.;1081;13
632;центральний;прикметник;1078;13
633;робочий;прикметник;1077;13
634;необхідність;ім. ж. р.;1076;13
635;голос;ім. ч. р.;1074;13
636;вид;ім. ч. р.;1071;13
637;далі;прислівн.;1069;13
638;здавати;дієсл.;1068;13
639;ніколи;прислівн.;1068;13
640;американський;прикметник;1067;13
641;значно;прислівн.;1066;13
642;побачити;дієсл.;1065;13
643;розробка;ім. ж. р.;1064;13
644;вільний;прикметник;1063;13
645;процедура;ім. ж. р.;1062;13
646;сприяти;дієсл.;1062;13
649;Микола;ім. ч. р.;1059;13
647;воно;займ.-ім.;1059;13
648;концепція;ім. ж. р.;1059;13
650;об'єкт;ім. ч. р.;1059;13
651;відомо;прислівн.;1056;14
652;насамперед;прислівн.;1056;14
653;створювати;дієсл.;1056;14
654;необхідно;присудкова форма;1055;14
655;регіональний;прикметник;1051;14
656;пропонувати;дієсл.;1050;14
657;визнати;дієсл.;1049;14
658;черга;ім. ж. р.;1049;14
659;львівський;прикметник;1048;14
660;бюджетний;прикметник;1044;14
662;Німеччина;ім. ж. р.;1043;14
661;матеріал;ім. ч. р.;1043;14
663;таки;част.;1043;14
664;усі;займ.-ім.;1040;14
665;земельний;прикметник;1039;14
666;парламентський;прикметник;1038;14
667;вимагати;дієсл.;1037;14
668;полягати;дієсл.;1037;14
669;кампанія;ім. ж. р.;1034;14
670;простір;ім. ч. р.;1030;14
671;правило;ім. с. р.;1023;14
672;око;ім. с. р.;1022;14
673;січень;ім. ч. р.;1022;14
674;гра;ім. ж. р.;1020;14
675;нація;ім. ж. р.;1020;14
676;здоров'я;ім. с. р.;1018;14
677;провести;дієсл.;1017;14
679;забезпечити;дієсл.;1016;14
678;засідання;ім. с. р.;1016;14
680;добрий;прикметник;1010;14
681;поняття;ім. с. р.;1010;14
682;суть;ім. ж. р.;1010;14
683;з'явитися;дієсл.;1009;14
684;поки;прислівн.;1004;14
685;навчання;ім. с. р.;1003;14
686;визначення;ім. с. р.;1002;14
687;називати;дієсл.;1001;14
688;президентський;прикметник;999;14
689;майбутнє;ім. с. р.;998;14
690;перемога;ім. ж. р.;998;14
691;зміст;ім. ч. р.;997;14
692;надавати;дієсл.;997;14
694;ЄС;абревіатура;995;14
695;Іван;ім. ч. р.;995;14
693;вік;ім. ч. р.;995;14
696;досягнення;ім. с. р.;993;14
700;Польща;ім. ж. р.;991;14
697;вартість;ім. ж. р.;991;14
698;знання;ім. с. р.;991;14
699;малий;прикметник;991;14
701;жаль;ім. ч. р.;990;15
702;змога;ім. ж. р.;990;15
704;Сергій;ім. ч. р.;987;15
703;книга;ім. ж. р.;987;15
705;долар;ім. ч. р.;986;15
706;адміністрація;ім. ж. р.;985;15
707;чинник;ім. ч. р.;984;15
708;дві;числ.;983;15
709;ставити;дієсл.;982;15
710;довестися;дієсл.;981;15
711;пан;ім. ч. р.;978;15
712;злочин;ім. ч. р.;976;15
713;застосування;ім. с. р.;973;15
714;назвати;дієсл.;973;15
715;призначення;ім. с. р.;973;15
716;серйозний;прикметник;972;15
717;дитина;ім. ж. р.;971;15
718;витрата;ім. ж. р.;970;15
719;за;прислівн.;969;15
720;продукція;ім. ж. р.;969;15
721;показник;ім. ч. р.;968;15
722;листопад;ім. ч. р.;967;15
723;революція;ім. ж. р.;965;15
724;фінансування;ім. с. р.;963;15
725;правда;ім. ж. р.;962;15
726;якби;сполучн.;960;15
727;книжка;ім. ж. р.;959;15
728;ефективний;прикметник;958;15
729;масовий;прикметник;957;15
730;нарід;ім. ч. р.;956;15
731;суб'єкт;ім. ч. р.;956;15
732;тиждень;ім. ч. р.;954;15
733;варіант;ім. ч. р.;953;15
734;визначати;дієсл.;953;15
735;привід;ім. ч. р.;949;15
736;столиця;ім. ж. р.;945;15
737;кінець;ім. ч. р.;943;15
738;важко;прислівн.;942;15
739;вулиця;ім. ж. р.;942;15
740;республіка;ім. ж. р.;940;15
741;хтіти;дієсл.;940;15
742;кабінет;ім. ч. р.;939;15
743;рамка;ім. ж. р.;939;15
744;технічний;прикметник;938;15
745;само;прислівн.;937;15
746;стандарт;ім. ч. р.;936;15
747;цікавий;прикметник;936;15
749;Звичайно;част.;935;15
748;громада;ім. ж. р.;935;15
750;співпраця;ім. ж. р.;935;15
751;робот;ім. ч. р.;934;16
752;давно;прислівн.;932;16
753;комплекс;ім. ч. р.;932;16
754;чекати;дієсл.;931;16
755;прем'єр;ім. ч. р.;929;16
756;званий;прикметник;927;16
757;виконавчий;прикметник;925;16
758;етап;ім. ч. р.;924;16
759;чинний;прикметник;923;16
760;конфлікт;ім. ч. р.;921;16
761;іноземний;прикметник;919;16
762;вигляд;ім. ч. р.;915;16
763;професійний;прикметник;913;16
764;стосовно;прийм.;913;16
765;активний;прикметник;911;16
766;незалежний;прикметник;911;16
767;курс;ім. ч. р.;910;16
768;назва;ім. ж. р.;910;16
769;глава;ім. ч. р.;909;16
770;особистий;прикметник;909;16
771;менше;прислівн.;908;16
772;метод;ім. ч. р.;907;16
773;позитивний;прикметник;906;16
774;залежати;дієсл.;905;16
775;громадянський;прикметник;904;16
776;пройти;дієсл.;902;16
777;вибір;ім. ч. р.;901;16
778;жовтень;ім. ч. р.;901;16
779;надання;ім. с. р.;900;16
780;низка;ім. ж. р.;898;16
781;виступати;дієсл.;897;16
782;середовище;ім. с. р.;896;16
783;спроба;ім. ж. р.;895;16
784;традиція;ім. ж. р.;894;16
785;фільм;ім. ч. р.;893;16
786;стратегія;ім. ж. р.;892;16
